EXPORT DATE,HSN CODE,DESCRIPTION,EXPORTER NAME,EXPORTER ADDRESS,EXPORTER PIN,EXPORTER CITY,EXPORTER STATE,EXPORTER PHONE,EXPORTER EMAIL,IMPORTER NAME,Importer_Address,IMPORTER COUNTRY,UNIT,QUANTITY,CURRENCY,UNIT RATE,FOB INV VALUE,FOB IN USD,IMPORT PORT,EXPORT PORT,SHIPPING BILLNO
25/11/2025,20081100,PEANUT BUTTER & P.B JAM LOT NO. 2510587T & 2510588T PEANUT BUTTER - SMOOTH,RUPAREL FOODS PRIVATE LIMITED,43 INDUSTRIAL PLOT N A,PIN-364290,MAHUVA/GUJ.,nan,nan,nan,TO ORDER,nan,UNITED KINGDOM,KGS,960.0,USD,2.23958,2150.0,2150.0,LONDON GATWAY PORT,MUNDRA SEA,7303133
24/11/2025,20081100,PEANUT BUTTER (AS PER INV),MOTHER NUTRI FOODS  LIMITED,SURVEY NO 276 1 OPP PETROL PUMP MAHUVA BHVANAGAR ROAD,364290,MAHUVA,nan,nan,nan,AL AJWAD INTERNATIONAL GENERAL TRAD,nan,SOUTH AFRICA,KGS,250.0,USD,18.1,4525.0,3317.7,Durban,MUNDRA SEA,7264100
24/11/2025,20081100,PEANUT BUTTER (AS PER INV),MOTHER NUTRI FOODS  LIMITED,SURVEY NO 276 1 OPP PETROL PUMP MAHUVA BHVANAGAR ROAD,364290,MAHUVA,nan,nan,nan,AL AJWAD INTERNATIONAL GENERAL TRAD,nan,SOUTH AFRICA,KGS,300.0,USD,18.1,5430.0,3981.24,Durban,MUNDRA SEA,7264100
24/11/2025,20081100,PEANUT BUTTER (AS PER INV),MOTHER NUTRI FOODS  LIMITED,SURVEY NO 276 1 OPP PETROL PUMP MAHUVA BHVANAGAR ROAD,364290,MAHUVA,nan,nan,nan,AL AJWAD INTERNATIONAL GENERAL TRAD,nan,SOUTH AFRICA,KGS,1000.0,USD,13.77,13770.0,10096.06,Durban,MUNDRA SEA,7264100
24/11/2025,20081100,PEANUT BUTTER LOT NO. 2511615T PEANUT BU TTER - CRUNCHY,RUPAREL FOODS PRIVATE LIMITED,43 INDUSTRIAL PLOT N A,PIN-364290,MAHUVA/GUJ.,nan,nan,nan,OXFORD C A,nan,VENEZUELA,KGS,21655.8,USD,2.51468,54457.41,50024.44,La Guaira,MUNDRA SEA,7266631
22/11/2025,20081993,Dehydrated white fried onions,RAJGURU DEHYDRATES,SURVEY NO 120 1 BHANWAD HARIPARA ROAD DWARIADHISH MARG,PIN-364290,"MAHUVA,GUJARAT",GUJARAT,nan,nan,AS EP,nan,SPAIN,KGS,500.0,USD,1.95,975.0,927.03,Barcelona,MUNDRA SEA,7217700
22/11/2025,20081100,PEANUT BUTTER O/D AS PER INV PL,R M FOODS,SURVEY NO 171 PAIKEE 1 HARIPAR ROAD VILLEGE TAVEDA,PIN-364290,MAHUVA/GUJARAT,nan,nan,nan,SAME AS CONSIGNEE,nan,SOMAALIA,KGS,14688.0,USD,1.71569,25200.05,25200.05,Mogadishu,MUNDRA SEA,7229930
22/11/2025,20081100,PEANUT BUTTER O/D AS PER INV PL,R M FOODS,SURVEY NO 171 PAIKEE 1 HARIPAR ROAD VILLEGE TAVEDA,PIN-364290,MAHUVA/GUJARAT,nan,nan,nan,SAME AS CONSIGNEE,nan,SOMAALIA,KGS,3264.0,USD,1.71569,5600.01,5600.01,Mogadishu,MUNDRA SEA,7229930
22/11/2025,20081993,CRISPY FRIED ONION 15 KGS NET IN A POLY  BAG 1 BAG IN A CARTON,MURTUZA FOOD INGREDIENTS LLP,SURVEY NO 274 PLOT NO 2 OTHA,364290,MAHUVA,nan,nan,nan,L.P,nan,SPAIN,MTS,4.5,USD,2356.1,10602.45,10090.1,Valencia,MUNDRA SEA,7208045
22/11/2025,20081100,Peanut Butter (200g),SUPER NUTRI FOODS,1 RAJ COMPLEX BELOW HOTEL GURUKRUPA BHD OLD S T STAND,PIN-364290,"MAHUVA, DIST.BHAVNAGAR/GUJARAT",nan,nan,nan,Nathan Foods Corporation,nan,PANAMA,KGS,4800.0,USD,2.47131,11862.29,11200.77,Manzanillo,MUNDRA SEA,7219894
